id,Name,Cuisine,Ratings,Reviews,Price_Rng,Zip-Code,State,City,NumberReturns,AdjustedGross Income,IncomeperReturn,SalaryperReturn,TaxPaidperReturn,MTW Status
325,Sweet & Fresh,Bubble Tea,2.5,33,1,30308,GEORGIA,Atlanta,"5,950","308,468","$51,843 ","$34,477 ","$10,750 ",Matching
218,Bad Daddy's Burger Bar,Burgers,3.5,309,2,30030,GEORGIA,Decatur,"12,299","530,683","$43,148 ","$37,815 ","$7,733 ",Matching
561,Lola's Burger and Tequila Bar,Burgers,4.5,108,2,30075,GEORGIA,Roswell,"21,656","1,696,164","$78,323 ","$69,072 ","$16,372 ",Matching
297,Ted's Montana Grill - Luckie Street,Burgers,4,948,2,30303,GEORGIA,Atlanta,"1,746","80,603","$46,164 ","$42,587 ","$33,834 ",Matching
667,Wahlburgers,Burgers,2.5,101,2,30303,GEORGIA,Atlanta,"1,746","80,603","$46,164 ","$42,587 ","$33,834 ",Matching
214,Farm Burger - Buckhead,Burgers,4,767,1,30305,GEORGIA,Atlanta,"14,265","1,992,461","$139,675 ","$103,339 ","$42,238 ",Matching
169,Scoville Hot Chicken,Burgers,4,62,2,30305,GEORGIA,Atlanta,"14,265","1,992,461","$139,675 ","$103,339 ","$42,238 ",Matching
213,Shake Shack,Burgers,3.5,674,2,30305,GEORGIA,Atlanta,"14,265","1,992,461","$139,675 ","$103,339 ","$42,238 ",Matching
610,Farm Burger - Virginia Highland,Burgers,4,20,2,30306,GEORGIA,Atlanta,"12,266","840,840","$68,550 ","$55,718 ","$14,516 ",Matching
555,Fred's Meat & Bread,Burgers,4,622,2,30307,GEORGIA,Atlanta,"8,251","483,693","$58,622 ","$47,414 ","$12,642 ",Matching
683,The Varsity,Burgers,3,2198,1,30308,GEORGIA,Atlanta,"5,950","308,468","$51,843 ","$34,477 ","$10,750 ",Matching
81,There on Fifth,Burgers,4.5,78,2,30308,GEORGIA,Atlanta,"5,950","308,468","$51,843 ","$34,477 ","$10,750 ",Matching
353,Farm Burger - Midtown Atlanta,Burgers,4,73,2,30309,GEORGIA,Atlanta,"10,405","932,807","$89,650 ","$58,739 ","$21,141 ",Matching
129,Sams Of San Francisco,Burgers,4,93,2,30309,GEORGIA,Atlanta,"10,405","932,807","$89,650 ","$58,739 ","$21,141 ",Matching
45,The Vortex Bar And Grill - Midtown,Burgers,4,1834,2,30309,GEORGIA,Atlanta,"10,405","932,807","$89,650 ","$58,739 ","$21,141 ",Matching
411,Atlanta Burger Tour,Burgers,5,7,3,30309,GEORGIA,Atlanta,"10,405","932,807","$89,650 ","$58,739 ","$21,141 ",Matching
706,Cluck N Mooh,Burgers,3.5,23,2,30324,GEORGIA,Atlanta,"10,983","604,700","$55,058 ","$46,404 ","$11,365 ",Matching
86,Grindhouse Killer Burgers,Burgers,4,1115,2,30324,GEORGIA,Atlanta,"10,983","604,700","$55,058 ","$46,404 ","$11,365 ",Matching
645,Grub Burger Bar,Burgers,4,352,2,30328,GEORGIA,Atlanta,"15,342","1,515,043","$98,751 ","$67,212 ","$23,526 ",Matching
529,Le Bon Nosh,Cafes,4,47,2,30305,GEORGIA,Atlanta,"14,265","1,992,461","$139,675 ","$103,339 ","$42,238 ",Matching
457,Proscenium Cafe and Market,Cafes,4,13,1,30309,GEORGIA,Atlanta,"10,405","932,807","$89,650 ","$58,739 ","$21,141 ",Matching
206,Momonoki,Cafes,4,441,2,30309,GEORGIA,Atlanta,"10,405","932,807","$89,650 ","$58,739 ","$21,141 ",Matching
471,Bucket Shop Cafe,Cafes,3.5,263,2,30326,GEORGIA,Atlanta,"1,688","151,035","$89,476 ","$117,370 ","$32,505 ",Matching
245,Louisiana Bistreaux - Decatur,Cajun/Creole,4,586,2,30030,GEORGIA,Decatur,"12,299","530,683","$43,148 ","$37,815 ","$7,733 ",Matching
69,The Po'Boy Shop,Cajun/Creole,4.5,392,2,30033,GEORGIA,Decatur,"14,440","716,375","$49,610 ","$41,060 ","$8,907 ",Matching
621,Pappadeaux Seafood Kitchen,Cajun/Creole,4,1470,2,30067,GEORGIA,Marietta,"22,549","1,403,307","$62,234 ","$46,666 ","$13,866 ",Matching
95,The Food Shoppe,Cajun/Creole,4.5,849,2,30303,GEORGIA,Atlanta,"1,746","80,603","$46,164 ","$42,587 ","$33,834 ",Matching
42,Louisiana Bistreaux Buckhead,Cajun/Creole,4,328,2,30305,GEORGIA,Atlanta,"14,265","1,992,461","$139,675 ","$103,339 ","$42,238 ",Matching
191,Bon Ton,Cajun/Creole,4,523,2,30308,GEORGIA,Atlanta,"5,950","308,468","$51,843 ","$34,477 ","$10,750 ",Matching
